table_name,column_name,data_type
ACCOUNT_EXPLORATION_ALH_account_filtered,pos_time_zone_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,pos_type_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,preferred_beverage_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,preferred_diet_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,preferred_language_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,preferred_way_of_communication_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,pricebook_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,pricebook_name_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,primary_boutique_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,primary_boutique_email_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,privacy_policies_acknowledgement_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,profile_picture_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,rating,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,record_type_id,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,sales_person_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,sales_person_new_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,salutation,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,same_billing_shipping_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,save_my_signature_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,seasonality_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,secondary_presence_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,segment_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,sellout_declaration_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,sfssdupe_catcher_override_dupe_catcher_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_city,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_company_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_country,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_country_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_first_name_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_first_name_kana_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_geocode_accuracy,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_last_name_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_last_name_kana_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_latitude,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_longitude,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_phone_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_postal_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_salutation_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_state,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_state_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,shipping_street,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,sic,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,sic_desc,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,signature_image_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,site,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,source_contact_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,status_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,status_pc,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,store_name_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,subsidiary_agent_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,system_modstamp,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,temporary_closure_reason_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,territory_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,ticker_symbol,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,type,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,type_of_display_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,type_of_location_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,type_of_merchandising_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,type_of_source_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,user_primary_boutique_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,waiver_signature_image_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,watchmaking_level_pc,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,we_chat_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,we_chat_official_account_open_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,we_chat_union_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,website,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,wechatista_mp_open_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,wedding_date_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,windows_description_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,wrist_size_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,x_12_m_turnover_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,x_24_m_turnover_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,x_36_m_turnover_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,y_2_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,y_2_store_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,_fivetran_deleted,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,_fivetran_synced,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,account_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,activate_free_service_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,active_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,belonging_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,belonging_price_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,belonging_price_set_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,boutique_of_purchase_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,case_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,created_by_id,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,created_by_virtual_warranty_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,created_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,currency_iso_code,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,date_creation_hublotista_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,date_modification_hublotista_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,discount_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,erp_account_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,extended_warranty_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,extension_granted_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,id,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,instruction_manual_doc_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,invoice_doc_id_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,invoice_number_c,STRING
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,is_deleted,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,is_returned_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,is_watch_c,BOOL
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,last_activity_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_belonging_c_filtered,last_modified_by_id,STRING
